,,lat,lon,name
"Q1: 49.85972500, 5.99617833","49.85972500, 5.99617833",49.85972500,5.99617833,D: Q1
"Q2: 49.86688833, 5.98873806","49.86688833, 5.98873806",49.86688833,5.98873806,D: Q2
"Q3: 49.86962833, 5.98963667","49.86962833, 5.98963667",49.86962833,5.98963667,D: Q3
