fid,cat,cat_,value,label,fid_2,name,burnin,section_number,n,distance,feature_x,feature_y,nearest_x,nearest_y,TWI__number,TWI__minimum,TWI__maximum,TWI__range,TWI__average,TWI__stddev,TWI__variance,TWI__coeff_var,TWI__sum,TWI__first_quartile,TWI__median,TWI__third_quartile,TWI__percentile_90,area
"27","11","469","435",,"28",tributary,,"21","1",0,65826.5676,104821.426461181,65826.5676,104821.426461181,6382,-4.44592523574829,18.6907844543457,23.136709690094,9.23013578098068,3.65754067049434,13.3776037563202,39.6260765527518,58906.7265542187,6.0674,8.01533,12.8346,13.5531,
"30","12","423","133",,"8",main_river,"1","14","1",0,66619.2811706974,104506.9412,66619.2811706974,104506.9412,17404,-2.36646056175232,21.7085590362549,24.0750195980072,9.96346836445168,3.83348341333881,14.6955950803437,38.4753910296555,173404.203414917,6.4605,10.1289,13.2085,14.1091,
"31","14","785","460",,"20",tributary_6,"1","12","1",336.544730775643,65641.5676,104511.9412,65914.0670568197,104314.440815581,30300,-2.54145121574402,21.9135189056396,24.4549701213837,9.73146163796576,3.6790107536092,13.5351201251722,37.8053255561952,294863.287630362,6.48196,9.38609,13.1325,13.7401,
"35","15","802","129",,"7",main_river,"1","13","1",7.35033264692394,66831.5676,104311.9412,66824.8502017688,104308.957251102,2089,-1.60331881046295,21.6077976226807,23.2111164331436,8.83813857142722,3.49901976845067,12.2431393400086,39.5900080109927,18462.8714757115,6.15174,7.35073,12.4979,13.147,
"37","16","803","130",,"6",main_river,"1","10","1",0,66916.5676,104027.871794455,66916.5676,104027.871794455,2543,0.0448782853782177,21.7388858795166,21.6940075941384,11.7415018219997,3.52825359685698,12.4485734437342,30.0494234072015,29858.6391333453,9.30006,13.1336,13.6654,14.208,
"38","17","808","499",,"19",tributary_5,"1","11","1",202.020971845189,67126.5676,104281.9412,67259.0670562978,104129.440815915,1,4.79748582839966,4.79748582839966,0,4.79748582839966,0,0,0,4.79748582839966,4.79749,4.79749,4.79749,4.79749,
"39","18","809","127",,"5",main_river,"1","8","1",0,67056.5676,103934.596477684,67056.5676,103934.596477684,19196,-2.69901275634766,22.0002174377441,24.6992301940918,8.78132343566735,3.58381803635538,12.8437517177061,40.8118213912823,168566.284671071,6.25125,7.23025,12.4381,13.3515,
"40","19","858","521",,"18",tributary_4,"1","9","1",0,67156.5676,103287.709670052,67156.5676,103287.709670052,16991,-1.57281947135925,22.0630149841309,23.6358344554901,9.78106897156411,3.87358537318232,15.004663643332,39.6028837384109,166190.142895846,6.28618,9.67722,13.1536,14.09,
"41","20","879","113",,"1",main_river,"1","1","1",0,68722.2891937142,102291.9412,68722.2891937142,102291.9412,88677,-5.60180711746216,22.6844043731689,28.2862114906311,9.79624625556729,3.93726075748742,15.5020222724504,40.1915249450761,868701.729204941,6.26672,10.6633,13.0983,14.0054,
"42","21","899","536",,"4",main_river,"1","6","1",65.509227994264,67726.5676,103081.9412,67680.0623293803,103035.803159762,320,1.5627578496933,21.7906475067139,20.2278896570206,8.46721476130188,3.75818730795708,14.1239718416897,44.3851657706062,2709.5087236166,5.53687,6.88323,12.7299,13.3985,
"43","13","783","577",,"15",tributary_1,"1","3","1",12.7478186923743,67591.5676,103981.9412,67594.0670561375,103969.440815989,55526,-5.937912940979,21.6318244934082,27.5697374343872,9.93716510724266,3.74608458714238,14.0331497340257,37.6977190850142,551771.029744756,6.61645,10.8038,13.2129,13.9889,
"44","22","914","122",,"3",main_river,"1","5","1",0,67896.5676,102800.624901829,67896.5676,102800.624901829,17795,-2.99767637252808,22.1614971160889,25.1591734886169,9.67325667974399,3.76167900825285,14.1502289611301,38.8874102362019,172135.602616044,6.53224,8.71855,13.0072,13.7574,
"46","23","916","543",,"16",tributary_2,"1","4","1",182.516775486986,67651.5676,102466.9412,67819.0670556476,102394.440815919,32588,-3.06223201751709,22.2713432312012,25.3335752487183,9.42723292083669,3.78139415911517,14.2989417865903,40.1113899578877,307214.666424226,6.22921,8.69164,12.8779,13.6775,
"47","24","981","117",,"2",main_river,"1","2","1",0,68501.5676,102462.075393797,68501.5676,102462.075393797,333,0.962153136730194,22.138822555542,21.1766694188118,9.03340311970439,4.28065717521646,18.3240258517322,47.386982718386,3008.12323886156,5.72347,7.11375,12.3351,12.9387,
"56","25","986","546",,"17",tributary_3,"1","7","1",529.916898392868,67281.5676,102441.9412,67464.0670559152,102939.440815872,380,-6.15704774856567,14.9167919158936,21.0738396644592,8.85529208955796,4.25987108309043,18.1465016445501,48.1053706643242,3365.01099403203,4.48108,10.67,12.5969,13.4575,
